bulan,darat,laut,udara,jumlah_a_b_c,total
2025-01,6052.0,103082.0,695992.0,805126.0,805126.0
2025-02,9637.0,121881.0,736288.0,867806.0,867806.0
2025-03,6500.0,116575.0,720565.0,843640.0,843640.0
2025-04,8268.0,95410.0,744157.0,847835.0,847835.0
2025-05,7034.0,104466.0,814586.0,926086.0,926086.0
2025-06,6970.0,141567.0,818861.0,967398.0,967398.0
2025-07,6913.0,109122.0,947591.0,1063626.0,1063626.0
2025-08,6986.0,123779.0,933456.0,1064221.0,1064221.0
2025-09,8285.0,121908.0,887706.0,1017899.0,1017899.0
2025-10,6230.0,112869.0,818135.0,937234.0,937234.0
2025-11,5637.0,118615.0,737336.0,861588.0,861588.0
2025-12,10118.0,166744.0,803355.0,980217.0,980217.0
